athleteID,age,sex,height,weight
656,23,M,,
657,,M,,
658,55,M,,
659,55,M,,
660,47,M,,
661,21,M,,
662,21,M,,
663,,M,,
664,18,M,,
665,21,M,169,68
666,,M,,
667,,M,,
668,31,M,,
669,21,M,,
670,24,M,183,64
671,24,M,183,64
672,24,M,183,64
673,24,M,183,64
674,24,M,183,64
675,,M,,
676,,M,,
677,,M,,
678,,M,,
679,22,M,,
680,33,M,,
681,33,M,,
682,,M,,
683,34,M,,
684,,M,,
685,17,M,,
686,21,M,,
687,29,M,,
688,44,M,,
689,23,M,,
690,43,M,,
691,22,M,,
692,22,M,,
693,22,M,,
694,18,M,,
695,18,M,,
696,26,M,175,70
697,26,M,175,70
698,,M,,
699,33,M,,
700,33,M,,
701,26,M,,
702,29,M,,
703,19,M,,
704,45,M,,
705,,M,,
706,,M,,
707,18,M,,
708,31,M,,
709,21,M,,
710,34,M,,
711,34,M,,
712,34,M,,
713,34,M,,
714,,M,,51
715,30,M,,
716,15,M,,
717,21,M,,
718,20,M,,
719,26,M,,
720,20,M,,
721,53,M,,
722,53,M,,
723,26,M,,
724,18,M,187,83
725,18,M,187,83
726,18,M,187,83
727,20,M,171,
728,20,M,171,
729,25,M,,
730,26,M,,
731,31,M,,
732,58,M,,
733,58,M,,
734,24,M,,
735,,M,,
736,,M,,
737,,M,,
738,23,F,,
739,,M,,
740,,M,,
741,44,M,,
742,44,M,,
743,25,M,,
744,,M,,
745,33,M,,
746,,M,,
747,,M,,
748,19,M,,
749,36,M,,
750,,M,,
751,16,M,,
752,27,M,,
753,27,M,,
754,22,M,,
755,20,M,,
756,,M,,
757,17,M,,
758,20,M,,
759,26,M,,
760,23,M,,
761,31,M,,
762,28,M,,
763,28,M,,
764,19,M,188,82
765,27,M,,
766,26,M,,
767,21,M,,
768,21,M,,
769,21,M,,
770,21,M,,
771,25,M,180,
772,,M,,
773,,M,,
774,22,M,,
775,28,M,,
776,23,M,,
777,23,M,,
778,24,M,,
779,,M,,
780,,M,,
781,,M,,
782,20,M,,
783,26,M,,98
784,23,M,,75
785,17,M,,
786,20,M,,
787,37,M,,
788,26,M,,
789,26,M,,
790,26,M,,
791,40,M,169,
792,33,M,,
793,19,M,160,49
794,29,M,180,73
795,20,M,,
796,38,M,,
797,41,M,,
798,21,M,182,71
799,21,M,182,71
800,27,M,,
801,25,M,,92
802,24,M,,
803,28,M,,
804,,M,,
805,27,M,,
806,26,M,178,95
807,55,F,,
808,55,F,,
